|20034111|1111111|1481251535|1483929935|
|20162503|1111116|1481249380|1483927780|
|20162503|1111119|1481214040|1483892440|
|20100001|1111122|1481251585|1483929985|
|20122453|1111125|1481251623|1483930023|
|20162503|1111126|1481216019|1483894419|
|20162503|1111127|1481217042|1483895442|
|20021333|1111128|1481251506|1483929906|
|20162511|1111129|1481215982|1483894382|
|20162333|1111130|1481215935|1483894335|
|20041111|1111167|1481227225|1483905625|
|13972000|1111177|1481251129|1483929529|
|20162398|1111185|1481251091|1483929491|
|20162503|1111188|1481227015|1483905415|
|20162476|1111190|1481251327|1483929727|
|20162503|1111191|1481251296|1483929696|
|15450000|1111194|1481251453|1483929853|
|20034111|1111196|1481251358|1483929758|
|20162388|1111200|1481251033|1483929433|
|19991234|1111210|1481251000|1483929400|
